Heures;Fioul...pointe;Charbon;Gaz;Nucleaire;Eolien;Hydraulique;Autres;Solde;Mois;Jour;Heure;Minute;PV;Total
00:00;0;2243;602;57146;384;7706;5912;-3225;1;1;0;0;;73993
00:15;0;2253;532;57403;368;8352;5930;-4388;1;1;0;15;;74838
00:30;0;2189;551;57516;366;7137;5934;-4128;1;1;0;30;;73693
00:45;0;2063;594;57216;357;6238;5859;-3796;1;1;0;45;;72327
01:00;0;1893;371;57231;349;6170;5866;-3968;1;1;1;0;;71880
01:15;0;1928;354;57409;337;6398;5840;-3662;1;1;1;15;;72266
01:30;0;1774;228;57098;329;6521;5873;-3638;1;1;1;30;;71823
01:45;0;1634;224;57349;320;6791;5872;-3569;1;1;1;45;;72190
02:00;0;1619;156;57252;313;6590;5855;-3881;1;1;2;0;;71785
02:15;0;1676;204;57352;315;6715;5857;-3603;1;1;2;15;;72119
02:30;0;1677;226;57142;316;6091;5858;-3908;1;1;2;30;;71310
02:45;0;1719;216;57224;306;5044;5856;-3831;1;1;2;45;;70365
03:00;0;1616;185;56584;307;4695;5861;-4092;1;1;3;0;;69248
03:15;0;1687;191;56942;301;3929;5862;-4200;1;1;3;15;;68912
03:30;0;1586;225;56286;305;3580;5853;-4121;1;1;3;30;;67835
03:45;0;1607;156;56860;300;2325;5868;-4099;1;1;3;45;;67116
04:00;0;1467;164;56234;301;2211;5867;-4023;1;1;4;0;;66244
04:15;0;1340;186;56564;302;1478;5863;-4072;1;1;4;15;;65733
04:30;0;1210;220;56105;292;1357;5867;-4012;1;1;4;30;;65051
04:45;0;1052;173;56140;291;804;5862;-3801;1;1;4;45;;64322
05:00;0;1015;169;55898;292;723;5865;-3833;1;1;5;0;;63962
05:15;0;1045;209;56168;301;659;5861;-4123;1;1;5;15;;64243
05:30;0;1036;225;55835;293;678;5859;-4115;1;1;5;30;;63926
05:45;0;1013;182;55687;304;492;5860;-3886;1;1;5;45;;63538
06:00;0;975;182;55565;302;493;5862;-3986;1;1;6;0;;63379
06:15;0;855;237;55010;296;534;5859;-3501;1;1;6;15;;62791
06:30;0;870;182;54655;300;576;5865;-3475;1;1;6;30;;62448
06:45;0;903;144;54473;303;632;5863;-3566;1;1;6;45;;62318
07:00;0;910;196;54292;312;528;5855;-3292;1;1;7;0;;62093
07:15;0;865;232;53433;308;699;5854;-2573;1;1;7;15;;61391
07:30;0;896;183;53619;311;722;5853;-2589;1;1;7;30;;61584
07:45;0;897;169;53362;313;981;5860;-2608;1;1;7;45;;61582
08:00;0;915;213;53121;319;858;5854;-2106;1;1;8;0;1;61281
08:15;0;894;208;53033;339;877;5863;-2150;1;1;8;15;2;61216
08:30;0;913;162;53049;348;984;5869;-2367;1;1;8;30;3;61328
08:45;0;907;143;52927;345;1089;5855;-2294;1;1;8;45;4;61270
09:00;0;911;222;52905;337;1115;5683;-2201;1;1;9;0;4;61177
09:15;0;939;153;53655;323;1356;5877;-2913;1;1;9;15;5;62308
09:30;0;940;144;54285;333;1426;5880;-2946;1;1;9;30;6;63014
09:45;0;927;176;54793;337;1628;5865;-3144;1;1;9;45;6;63732
10:00;0;883;229;54734;347;1682;5570;-2679;1;1;10;0;7;63452
10:15;0;885;173;55443;350;1870;5969;-3019;1;1;10;15;7;64697
10:30;0;880;173;55666;339;2124;5960;-2963;1;1;10;30;7;65149
10:45;0;908;209;56045;350;2204;5963;-3011;1;1;10;45;7;65686
11:00;0;916;213;56313;355;2186;5954;-2755;1;1;11;0;8;65945
11:15;0;1065;168;55916;339;2975;6016;-2627;1;1;11;15;8;66487
11:30;0;1206;177;56062;331;3219;6012;-2752;1;1;11;30;8;67015
11:45;0;1317;222;55954;317;3770;6005;-2947;1;1;11;45;8;67593
12:00;0;1389;155;56168;310;3771;6010;-2445;1;1;12;0;7;67810
12:15;0;1416;160;56672;317;3821;6010;-2118;1;1;12;15;7;68403
12:30;0;1418;137;56708;314;4283;5979;-2059;1;1;12;30;7;68846
12:45;0;1509;237;57133;307;5567;5987;-2503;1;1;12;45;7;70747
13:00;0;1446;152;56840;317;5539;6012;-2348;1;1;13;0;6;70312
13:15;0;1418;141;57307;334;5810;5999;-3776;1;1;13;15;6;71015
13:30;0;1283;175;56924;344;5374;5992;-3496;1;1;13;30;6;70098
13:45;0;1242;179;57062;321;4807;5986;-3602;1;1;13;45;5;69602
