Heures;Fioul...pointe;Charbon;Gaz;Nucleaire;Eolien;Hydraulique;Autres;PV
00:00;0;0;209;53053;3008;7379;5223;
00:15;0;0;204;53313;3025;5945;5273;
00:30;0;0;183;52110;2992;5800;5275;
00:45;0;0;218;51633;2964;5062;5281;
01:00;0;0;211;51636;2943;4964;5282;
01:15;0;0;210;51942;2923;4492;5278;
01:30;0;0;199;51802;2912;4225;5286;
01:45;0;0;218;51934;3007;4127;5274;
02:00;0;0;223;51332;2986;3789;5277;
02:15;0;0;213;50340;2961;3430;5282;
02:30;0;0;216;49517;2979;3310;5277;
02:45;0;0;202;48453;2999;2863;5282;
03:00;0;0;218;47620;3000;2908;5283;
03:15;0;0;202;47095;3025;3091;5281;
03:30;0;0;217;45827;3063;3052;5286;
03:45;0;0;209;44798;3095;3151;5282;
04:00;0;0;205;43452;3059;3161;5281;
04:15;0;0;208;42872;3035;3055;5286;
04:30;0;0;221;42091;3007;3396;5282;
04:45;0;0;220;42008;3021;3222;5280;
05:00;0;0;204;41762;2983;3079;5282;
05:15;0;0;210;41099;2961;2631;5277;
05:30;0;0;221;40767;2940;2636;5280;
05:45;0;0;222;40653;2927;2445;5278;
06:00;0;0;152;40227;2952;2337;5278;
06:15;0;0;206;39265;2983;2337;5278;
06:30;0;0;216;38690;2987;2368;5271;
06:45;0;0;218;38687;2993;2383;5268;
07:00;0;0;208;38582;2974;2621;5272;
07:15;0;0;218;38038;2961;3091;5264;
07:30;0;0;224;38193;2979;3198;5277;
07:45;0;0;196;37719;2983;3212;5267;10
08:00;0;0;209;38260;2967;3287;5272;12
08:15;0;0;220;38326;2967;3571;5271;14
08:30;0;0;223;37836;3001;3420;5275;15
08:45;0;0;158;37917;2937;3422;5268;17
09:00;0;0;212;38634;2941;3406;5274;18
09:15;0;0;207;39251;2917;4623;5386;19
09:30;0;0;176;39850;2911;4815;5372;20
09:45;0;0;201;40157;2920;4779;5366;21
10:00;0;0;210;40444;2942;4886;5360;21
10:15;0;0;215;41287;2962;4634;5573;21
10:30;0;0;200;42472;2923;3938;5576;21
10:45;0;0;213;42777;3000;3957;5574;21
11:00;0;0;208;42951;3036;4082;5572;21
11:15;0;0;218;43225;3073;5240;5841;21
11:30;0;0;217;43527;3086;5237;5851;21
11:45;0;0;214;43603;3164;5396;5833;20
12:00;0;0;215;43756;3167;5577;5826;19
12:15;0;0;216;43855;3118;5643;5993;19
12:30;0;0;217;44327;3170;5582;6010;18
12:45;0;0;217;44724;3187;6412;5967;17
13:00;0;0;222;44774;3164;6110;6005;16
13:15;0;0;224;44840;3221;5455;5948;15
13:30;0;0;222;44427;3385;5353;5957;15
13:45;0;0;218;44054;3333;5028;5952;14
14:00;0;0;216;43944;3372;4511;5957;13
14:15;0;0;184;44964;3379;4138;5720;12
14:30;0;0;182;44605;3431;4043;5722;11
14:45;0;0;104;44301;3463;3805;5705;10
15:00;0;0;103;43930;3495;3853;5698;9
15:15;0;0;100;43680;3511;3633;5425;9
15:30;0;0;102;43745;3517;3550;5425;8
15:45;0;0;103;43828;3540;3385;5422;7
16:00;0;0;102;43557;3532;3219;5417;
16:15;0;0;101;43421;3544;3618;5254;
16:30;0;0;101;43578;3579;3664;5255;
16:45;0;0;97;43285;3599;4565;5252;
17:00;0;0;99;43496;3616;4787;5254;
17:15;0;0;99;44733;3637;5484;5202;
17:30;0;0;99;45806;3626;6101;5208;
17:45;0;0;99;46371;3658;6903;5216;
18:00;0;0;97;46616;3672;7538;5207;
18:15;0;0;97;46693;3644;8082;5215;
18:30;0;0;98;47042;3668;8218;5206;
18:45;0;0;98;47179;3685;8734;5209;
19:00;0;0;96;47596;3694;9011;5211;
19:15;0;0;97;47388;3626;9517;5221;
19:30;0;0;96;47484;3667;9521;5210;
19:45;0;0;97;47464;3650;9427;5207;
20:00;0;0;91;47580;3599;9342;5218;
20:15;0;0;95;47611;3591;8960;5218;
20:30;0;0;156;47319;3588;8560;5222;
20:45;0;0;196;47865;3572;7177;5228;
21:00;0;0;197;47710;3573;6947;5238;
21:15;0;0;200;47950;3516;5718;5231;
21:30;0;0;202;47578;3733;5551;5232;
21:45;0;0;200;47496;3457;5303;5240;
22:00;0;0;202;47132;3471;5297;5242;
22:15;0;0;202;46521;3387;6481;5245;
22:30;0;0;207;46555;3360;6498;5246;
22:45;0;0;211;47335;3304;7692;5236;
23:00;0;0;216;46667;3271;7778;5238;
23:15;0;0;219;46680;3249;5986;5240;
23:30;0;0;209;46016;3226;5582;5249;
23:45;0;0;205;46621;3222;5128;5255;
00:00;0;0;204;46054;3196;4892;5261;
00:15;0;0;205;46678;3143;4316;5250;
00:30;0;0;207;45316;3060;4034;5248;
00:45;0;0;212;44302;3009;3464;5231;
01:00;0;0;209;43685;2986;3264;5234;
01:15;0;0;213;43148;2931;2812;5230;
01:30;0;0;210;42455;2857;2812;5233;
01:45;0;0;210;42434;2796;3405;5227;
02:00;0;0;212;41739;2790;3354;5236;
02:15;0;0;210;41377;2685;3193;5244;
02:30;0;0;215;40603;2659;3165;5238;
02:45;0;0;213;40337;2617;2495;5241;
03:00;0;0;218;39619;2601;2373;5244;
03:15;0;0;216;39367;2587;2299;5240;
03:30;0;0;216;38788;2602;2711;5242;
03:45;0;0;214;38181;2566;2736;5238;
04:00;0;0;214;38392;2570;2161;5238;
04:15;0;0;212;38623;2546;2168;5248;
04:30;0;0;213;38709;2395;2229;5255;
04:45;0;0;214;38768;2342;2272;5253;
05:00;0;0;211;39276;2326;2503;5255;
05:15;0;0;214;40461;2264;3015;5255;
05:30;0;0;212;41327;2187;3150;5259;
05:45;0;0;212;41576;2326;3313;5258;
06:00;0;0;214;42364;2387;3521;5260;
06:15;0;0;241;44503;2413;4625;5271;
06:30;0;0;312;45144;2349;5912;5226;
06:45;0;0;310;46149;2391;5787;5232;
07:00;0;0;307;46755;2451;5912;5259;
07:15;0;0;310;49005;2519;6870;5269;
07:30;0;0;381;50359;2381;6954;5268;
07:45;0;0;447;52023;2406;6770;5269;13
08:00;0;0;441;53109;2372;5981;5265;14
08:15;0;0;442;54517;2352;5661;5284;16
08:30;0;0;431;55456;2273;5711;5275;17
08:45;0;0;427;55731;2312;5580;5276;18
09:00;0;0;421;55554;2396;5966;5280;19
09:15;0;0;424;56605;2422;6169;5397;20
09:30;0;0;435;57013;2426;6634;5387;20
09:45;0;0;428;57082;2455;6714;5378;21
10:00;0;0;437;57347;2409;6875;5457;21
10:15;0;0;436;57613;2450;7238;5666;21
10:30;0;0;434;57876;2530;7378;5670;21
10:45;0;0;436;58009;2539;7269;5672;21
11:00;0;0;436;58236;2636;7310;5667;21
11:15;0;0;424;58437;2594;7915;5926;20
11:30;0;0;407;58419;2718;8315;5938;20
11:45;0;0;391;58325;2755;8482;5945;19
12:00;0;0;413;58518;2788;8666;5940;18
12:15;0;0;420;58690;2765;9123;6089;17
12:30;0;0;432;58364;2840;8898;6095;16
12:45;0;0;436;58898;2903;9455;6092;16
13:00;0;0;440;58767;2915;8993;6094;15
13:15;0;0;434;58724;2891;8549;6047;14
13:30;0;0;437;58668;2875;8123;6028;13
13:45;0;0;440;58931;2815;7475;6023;12
14:00;0;0;414;58882;2870;7106;6032;11
14:15;0;0;435;59200;2755;6778;5796;10
14:30;0;0;432;58922;2755;6538;5794;9
14:45;0;0;445;58808;2687;5815;5802;8
15:00;0;0;441;58473;2728;5645;5803;7
15:15;0;0;443;58462;2671;5333;5565;6
15:30;0;0;448;58655;2601;4964;5582;5
15:45;0;0;432;58738;2597;4861;5572;4
16:00;0;0;422;58790;2500;4667;5577;
16:15;0;0;442;59112;2500;4862;5424;
16:30;0;0;443;59241;2499;4862;5417;
16:45;0;0;411;58776;2505;5809;5428;
